                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0924,                 1.0459,                  1.145,                0.27775,                 0.3696,                0.29789,                0.16647,                  2.041,                 2.4966,                 1.8148,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.1004,                  1.093,                  1.151,                0.42405,                0.33274,                0.29814,                0.17157,                 1.9887,                  2.528,                 1.7834,             0.00073704,             0.00073704,             0.00073704
                     36,                  1.349,                 1.2642,                 1.2436,                0.34208,                0.37864,                0.30397,                0.17248,                 2.0218,                  2.671,                 1.6857,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.2444,                 1.2134,                  1.201,                0.41929,                0.32083,                0.31166,                0.18366,                 1.8101,                 2.3154,                 1.5478,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.0811,                0.99149,                 1.1957,                0.40932,                0.32112,                0.27249,                  0.144,                 2.0639,                 2.5468,                 1.7137,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.2789,                 1.2901,                 1.3547,                0.35447,                0.35013,                0.28042,                0.16433,                 1.9291,                 2.5151,                 1.6012,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.0578,                0.88564,                 1.1662,                0.33309,                0.35717,                0.27068,                0.17039,                 1.8926,                 2.3717,                  1.579,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.0518,                0.83645,                 1.1762,                0.36715,                0.37776,                0.30401,                0.17876,                 1.8242,                  2.481,                 1.5791,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.2622,                0.96415,                 1.1538,                0.37289,                0.43395,                0.33609,                0.19827,                 2.0481,                  2.439,                 1.6502,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.1454,                0.97447,                 1.1712,                0.43945,                0.40515,                0.35478,                0.21819,                 1.9007,                 2.1856,                 1.6022,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.1694,                0.96084,                  1.194,                0.40254,                0.45107,                0.38103,                0.23646,                 1.9382,                 2.1184,                 1.6172,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.2025,                0.82283,                 1.2817,                0.46054,                0.43724,                0.36148,                0.23834,                 1.8318,                 2.3338,                 1.6103,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.1099,                 0.8921,                 1.0967,                0.42395,                0.41145,                0.31709,                0.17922,                 2.1047,                 2.3734,                  1.788,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.2058,                 1.5981,                 1.2699,                0.42356,                0.43567,                0.35752,                0.22957,                 1.8526,                 2.3647,                 1.5829,             0.00060505,             0.00060505,             0.00060505
                     48,                0.95273,                0.78197,                 1.0813,                0.64927,                 0.4642,                0.35281,                0.20871,                 1.9491,                 2.2633,                  1.588,             0.00059405,             0.00059405,             0.00059405
                     49,                  1.087,                 1.6871,                 1.1479,                 0.6389,                0.44356,                0.35981,                 0.2341,                 1.8147,                 2.3645,                 1.5651,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.0113,                0.87298,                 1.1192,                0.46334,                 0.4786,                0.38796,                0.26464,                 1.8518,                 2.2786,                  1.587,             0.00057205,             0.00057205,             0.00057205
                     51,                0.98256,                 0.6898,                 1.0695,                 0.4324,                0.45558,                0.37749,                0.25714,                 1.6652,                 2.0886,                 1.4944,             0.00056105,             0.00056105,             0.00056105
                     52,                0.94218,                0.91901,                 1.1139,                0.51981,                0.49003,                0.40102,                0.25908,                 1.7411,                 1.9631,                 1.5375,             0.00055006,             0.00055006,             0.00055006
                     53,                0.97085,                0.86089,                 1.0859,                0.48759,                0.48191,                0.40009,                0.27602,                 1.5833,                 1.8679,                 1.4388,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.0417,                0.87864,                 1.2249,                0.70896,                0.44592,                0.38214,                0.24906,                 1.7575,                 2.0117,                 1.4926,             0.00052806,             0.00052806,             0.00052806
                     55,                 0.9666,                 1.2307,                  1.129,                0.44928,                0.49506,                0.35547,                0.24984,                 1.5995,                 1.9887,                 1.4108,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.2687,                0.97551,                 1.2627,                0.45608,                0.45581,                0.37633,                0.24311,                 1.7507,                  1.994,                  1.482,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.0184,                0.72599,                 1.0802,                 0.5168,                0.48915,                0.38932,                0.27027,                 1.6024,                 1.9037,                 1.4003,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.1462,                0.80756,                 1.1136,                0.50047,                0.46808,                0.36906,                0.23588,                 1.7118,                 1.9644,                 1.4308,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.1528,                 1.0339,                 1.1712,                0.50927,                0.42008,                0.38189,                0.26744,                 1.6316,                 1.9792,                 1.4699,             0.00047306,             0.00047306,             0.00047306
